date,m2_lead
3/1/2010,8.4581E+12
4/1/2010,8.5074E+12
5/1/2010,8.5045E+12
6/1/2010,8.5352E+12
7/1/2010,8.5899E+12
8/1/2010,8.609E+12
9/1/2010,8.6188E+12
10/1/2010,8.6691E+12
11/1/2010,8.7001E+12
12/1/2010,8.7494E+12
1/1/2011,8.77E+12
2/1/2011,8.8018E+12
3/1/2011,8.8231E+12
4/1/2011,8.8869E+12
5/1/2011,8.9435E+12
6/1/2011,9.0049E+12
7/1/2011,9.0755E+12
8/1/2011,9.151E+12
9/1/2011,9.3166E+12
10/1/2011,9.5076E+12
11/1/2011,9.5283E+12
12/1/2011,9.5621E+12
1/1/2012,9.6126E+12
2/1/2012,9.6601E+12
3/1/2012,9.7333E+12
4/1/2012,9.7857E+12
5/1/2012,9.8306E+12
6/1/2012,9.8846E+12
7/1/2012,9.9284E+12
8/1/2012,9.9993E+12
9/1/2012,1.00518E+13
10/1/2012,1.01213E+13
11/1/2012,1.02008E+13
12/1/2012,1.02673E+13
1/1/2013,1.03376E+13
2/1/2013,1.04597E+13
3/1/2013,1.04829E+13
4/1/2013,1.05013E+13
5/1/2013,1.05583E+13
6/1/2013,1.05863E+13
7/1/2013,1.0621E+13
8/1/2013,1.06787E+13
9/1/2013,1.07184E+13
10/1/2013,1.07766E+13
11/1/2013,1.08372E+13
12/1/2013,1.09616E+13
1/1/2014,1.09697E+13
2/1/2014,1.1035E+13
3/1/2014,1.10808E+13
4/1/2014,1.11788E+13
5/1/2014,1.12081E+13
6/1/2014,1.12577E+13
7/1/2014,1.1321E+13
8/1/2014,1.13749E+13
9/1/2014,1.14299E+13
10/1/2014,1.14589E+13
11/1/2014,1.14998E+13
12/1/2014,1.1566E+13
1/1/2015,1.16048E+13
2/1/2015,1.16849E+13
3/1/2015,1.17456E+13
4/1/2015,1.1879E+13
5/1/2015,1.18868E+13
6/1/2015,1.19289E+13
7/1/2015,1.19579E+13
8/1/2015,1.20017E+13
9/1/2015,1.20513E+13
10/1/2015,1.21019E+13
11/1/2015,1.21608E+13
12/1/2015,1.21959E+13
1/1/2016,1.22846E+13
2/1/2016,1.23468E+13
3/1/2016,1.24699E+13
4/1/2016,1.25567E+13
5/1/2016,1.26167E+13
6/1/2016,1.27004E+13
7/1/2016,1.27662E+13
8/1/2016,1.28294E+13
9/1/2016,1.28877E+13
10/1/2016,1.29728E+13
11/1/2016,1.30336E+13
12/1/2016,1.31005E+13
1/1/2017,1.31734E+13
2/1/2017,1.32134E+13
3/1/2017,1.32834E+13
4/1/2017,1.33588E+13
5/1/2017,1.34269E+13
6/1/2017,1.34849E+13
7/1/2017,1.35381E+13
8/1/2017,1.35592E+13
9/1/2017,1.36187E+13
10/1/2017,1.36737E+13
11/1/2017,1.37179E+13
12/1/2017,1.37701E+13
1/1/2018,1.37999E+13
2/1/2018,1.38579E+13
3/1/2018,1.38697E+13
4/1/2018,1.39123E+13
5/1/2018,1.39702E+13
6/1/2018,1.39888E+13
7/1/2018,1.40472E+13
8/1/2018,1.41036E+13
9/1/2018,1.41392E+13
10/1/2018,1.41813E+13
11/1/2018,1.42129E+13
12/1/2018,1.42225E+13
1/1/2019,1.42368E+13
2/1/2019,1.43627E+13
3/1/2019,1.443E+13
4/1/2019,1.44699E+13
5/1/2019,1.45099E+13
6/1/2019,1.4541E+13
7/1/2019,1.46432E+13
8/1/2019,1.47577E+13
9/1/2019,1.48406E+13
10/1/2019,1.49146E+13
11/1/2019,1.50081E+13
12/1/2019,1.51408E+13
1/1/2020,1.52422E+13
2/1/2020,1.53207E+13
3/1/2020,1.5396E+13
4/1/2020,1.54503E+13
5/1/2020,1.59787E+13
6/1/2020,1.69976E+13
7/1/2020,1.78511E+13
8/1/2020,1.81317E+13
9/1/2020,1.82863E+13
10/1/2020,1.8346E+13
11/1/2020,1.85773E+13
12/1/2020,1.87291E+13
1/1/2021,1.89493E+13
2/1/2021,1.9114E+13
3/1/2021,1.93564E+13
4/1/2021,1.96005E+13
5/1/2021,1.98403E+13
6/1/2021,2.01172E+13
7/1/2021,2.04324E+13
8/1/2021,2.05069E+13
9/1/2021,2.06632E+13
10/1/2021,2.08482E+13
11/1/2021,2.09642E+13
12/1/2021,2.11159E+13
1/1/2022,2.1316E+13
2/1/2022,2.15503E+13
3/1/2022,2.15619E+13
4/1/2022,2.15703E+13
5/1/2022,2.16977E+13
6/1/2022,2.1678E+13
7/1/2022,2.16656E+13
8/1/2022,2.16668E+13
9/1/2022,2.17032E+13
10/1/2022,2.16586E+13
11/1/2022,2.15231E+13
12/1/2022,2.14313E+13
1/1/2023,2.13969E+13
2/1/2023,2.13577E+13
3/1/2023,2.1212E+13
4/1/2023,2.10754E+13
5/1/2023,2.08181E+13
